"时间戳","主键ID","企业ID","生产状态：1正常生成，2临时停产(三个月以内)， 3长期停产(三个月以上)","停产原因","停产开始时间","预估结束停产时间","实际结束停产时间","停产时长","调整来源（1：企业 2：政府）","创建人","创建时间","更新人","更新时间","数据来源"
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccc5df866001f","91321182MA2275T414","2",休息,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,2024-01-04 23:59:59.000,"2","1",,2024-01-03 06:49:19.000,,2024-01-17 15:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccc74947c0048","913203053239445591","2",库存积压严重，销售直线下滑，春节临近，公司决定临时放假三个月。,2024-01-03 00:00:00.000,2024-03-02 23:59:59.000,,"60","1",,2024-01-03 07:14:01.000,,2024-01-03 07:14:01.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccc96c8d30402","91320623595583486M","2",元旦放假,2023-12-30 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"5","1",,2024-01-03 07:51:23.000,,2024-01-06 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca532920822","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:07.000,,2024-01-03 08:07:07.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca541fb0823","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:11.000,,2024-01-03 08:07:11.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca58ae50824","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:30.000,,2024-01-03 08:07:30.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca58aee0825","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:30.000,,2024-01-03 08:07:30.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca596810826","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:33.000,,2024-01-03 08:07:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca597100827","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:33.000,,2024-01-03 08:07:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca598710828","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:33.000,,2024-01-03 08:07:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca598790829","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,2024-01-05 23:59:59.000,"3","1",,2024-01-03 08:07:33.000,,2024-01-16 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca6cdf208a8","91320831MA27BP9X2A","2",设备维护,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 08:08:52.000,,2024-01-03 08:08:52.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccada5880994","91321182MA1XUN8L89","2",暂时停产,2024-01-03 00:00:00.000,2024-01-07 23:59:59.000,,"5","1",,2024-01-03 08:16:21.000,,2024-01-03 08:16:21.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccb5c9680e44","91320681324017415R","2",礼拜天休息,2024-01-06 00:00:00.000,2024-01-07 23:59:59.000,,"2","1",,2024-01-03 08:25:14.000,,2024-01-03 08:25:14.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b5591523","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 08:38:16.000,,2024-01-03 08:38:16.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b57c1524","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 08:38:16.000,,2024-01-03 08:38:16.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b5a71525","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,,"2","1",,2024-01-03 08:38:16.000,,2024-01-03 08:38:16.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b8701537","91320684MA1NYUKD0B","2",提前放假,2023-12-15 00:00:00.000,2024-02-17 23:59:59.000,2024-02-17 23:59:59.000,"65","1",,2024-01-03 08:38:16.000,,2024-02-26 15:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b8ee1538","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"1","1",,2024-01-03 08:38:17.000,,2024-01-05 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc599211764","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:31.000,,2024-01-03 08:42:31.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5a1f7179b","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:33.000,,2024-01-03 08:42:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b0a217b4","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b0aa17b5","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b10a17b6","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b35f17b7","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccd62d022136","91320381MA1MXWTP5Y","2",我厂继续停产保火,2024-01-03 00:00:00.000,2024-03-01 23:59:59.000,2024-03-01 23:59:59.000,"59","1",,2024-01-03 09:00:37.000,,2024-06-19 10:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccce230892b07","91320282250243937R","2",无生产计划,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 09:13:44.000,,2024-01-03 09:13:44.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccce26ff92b10","91320282250243937R","2",无生产计划,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 09:14:01.000,,2024-01-03 09:14:01.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccce7aa082cb1","91320324MA1MT7H393","2",事假，工厂放假,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:19:43.000,,2024-01-03 09:19:43.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee4ee530dd","91321311MA1W9L7Y7X","2",春节假期,2024-01-31 00:00:00.000,2024-02-19 23:59:59.000,,"20","1",,2024-01-03 09:26:59.000,,2024-01-03 09:26:59.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee828c30f3","91320707313902080X","3",设备检修,2024-01-03 00:00:00.000,2024-06-30 23:59:59.000,,"180","1",,2024-01-03 09:27:12.000,,2024-01-03 09:27:12.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee830030f4","91320707313902080X","3",设备检修,2024-01-03 00:00:00.000,2024-06-30 23:59:59.000,,"180","1",,2024-01-03 09:27:12.000,,2024-01-03 09:27:12.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee867930f5","91320707313902080X","3",检修,2024-01-03 00:00:00.000,2024-06-30 23:59:59.000,,"180","1",,2024-01-03 09:27:13.000,,2024-01-03 09:27:13.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed0723166","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:32.000,,2024-01-03 09:27:32.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed2e231c0","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:32.000,,2024-01-03 09:27:32.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed7d53212","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed8763242","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed907324c","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed955324d","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceee670330b","91320891555873825L","2",临时停产,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,2024-01-04 23:59:59.000,"2","1",,2024-01-03 09:27:37.000,,2024-02-07 10:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccf14823355e","91320281MA1MBXF982","2",厂房搬迁,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 09:30:13.000,,2024-01-03 09:30:13.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccf148e6355f","91320281MA1MBXF982","2",厂房搬迁,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 09:30:14.000,,2024-01-03 09:30:14.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccf149443560","91320281MA1MBXF982","2",厂房搬迁,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,2024-01-10 23:59:59.000,"8","1",,2024-01-03 09:30:14.000,,2024-01-22 09:00:00.000,
2025-06-20 05:12:50.000,"8aae07328cccf5b4018cccfb6f6d051c","91320891718567823W","2",因冬季是淡季无水产饲料订单,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 09:41:19.000,,2024-01-03 09:41:19.000,
2025-06-20 05:12:50.000,"8aae07328cccf5b4018cccfb795605bc","91320305789060691C","2",天气原因,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 09:41:21.000,,2024-01-03 09:41:21.000,
2025-06-20 05:12:50.000,"8aae07328cccf5b4018cccfda09007c0","91320891718567823W","2",因淡季无水产计划停产,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:43:42.000,,2024-01-03 09:43:42.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd094e940024","91321291MA20FETD1D","2",休息,2024-01-07 00:00:00.000,2024-01-07 23:59:59.000,,"1","1",,2024-01-03 09:56:28.000,,2024-01-03 09:56:28.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd10beb403c8","913203825884819169","2",因订单原因暂无生产任务,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 10:04:35.000,,2024-01-03 10:04:35.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd10bf2d03c9","913203825884819169","2",因订单原因暂无生产任务,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 10:04:36.000,,2024-01-03 10:04:36.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c41bf0857","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c41ea0858","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c4211085c","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c42e6085d","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c4489085e","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:11.000,,2024-01-03 10:17:11.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c4491085f","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:11.000,,2024-01-03 10:17:11.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c6037087c","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:18.000,,2024-01-03 10:17:18.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c60cd087d","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:18.000,,2024-01-03 10:17:18.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c6733089a","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:19.000,,2024-01-03 10:17:19.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c6735089b","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"1","1",,2024-01-03 10:17:19.000,,2024-01-14 13:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd21c4780b85","91320322323554892H","2",暂时没有订单,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 10:23:11.000,,2024-01-03 10:23:11.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd23521a0c98","913203053236045385","2",放假,2023-12-22 00:00:00.000,2024-02-29 23:59:59.000,,"70","1",,2024-01-03 10:24:53.000,,2024-01-03 10:24:53.000,
2025-06-20 05:12:50.000,"8aae07328ccd275e018ccd295249023b","913203053236045385","2",放假,2023-12-22 00:00:00.000,2024-01-03 23:59:59.000,,"13","1",,2024-01-03 10:31:26.000,,2024-01-03 10:31:26.000,
2025-06-20 05:12:50.000,"8aae07328ccd275e018ccd29791d024c","913203053236045385","2",放假,2023-12-22 00:00:00.000,2024-01-03 23:59:59.000,,"13","1",,2024-01-03 10:31:36.000,,2024-01-03 10:31:36.000,
2025-06-20 05:12:50.000,"8aae07328ccd275e018ccd297b8d025c","913203053236045385","2",放假,2023-12-22 00:00:00.000,2024-01-03 23:59:59.000,,"13","1",,2024-01-03 10:31:37.000,,2024-01-03 10:31:37.000,
2025-06-20 05:12:50.000,"8aae07328ccd275e018ccd297c0d025f","913203053236045385","2",放假,2023-12-22 00:00:00.000,2024-01-03 23:59:59.000,,"13","1",,2024-01-03 10:31:37.000,,2024-01-03 10:31:37.000,
2025-06-20 05:12:50.000,"8aae07328ccd275e018ccd297c760260","913203053236045385","2",放假,2023-12-22 00:00:00.000,2024-01-03 23:59:59.000,,"13","1",,2024-01-03 10:31:37.000,,2024-01-03 10:31:37.000,
2025-06-20 05:12:50.000,"8aae07328ccd275e018ccd297d830279","913203053236045385","2",放假,2023-12-22 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"13","1",,2024-01-03 10:31:37.000,,2024-01-13 12:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd2fab4d040d","91320600MA21X9778A","2",无生产订单,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 10:38:22.000,,2024-01-03 10:38:22.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd2fb2d90419","91320600MA21X9778A","2",无生产订单,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 10:38:24.000,,2024-01-03 10:38:24.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd2fb9df0448","91320600MA21X9778A","2",无生产订单,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 10:38:26.000,,2024-01-03 10:38:26.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd2fb9f80449","91320600MA21X9778A","2",无生产订单,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 10:38:26.000,,2024-01-03 10:38:26.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd2fc6d104b2","913209827222947258","2",停产放假,2024-01-03 00:00:00.000,2024-02-20 23:59:59.000,,"49","1",,2024-01-03 10:38:29.000,,2024-01-03 10:38:29.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd34f58e0b54","91321322714002059H","2",机器设备检修,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,2024-01-31 23:59:59.000,"29","1",,2024-01-03 10:44:09.000,,2024-02-01 14:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd39ad2a1044","92321181MA1NY0H89P","2","24年1月1日、2日、3日厂休息",2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:49:18.000,,2024-01-03 10:49:18.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd39b0d01111","92321181MA1NY0H89P","2","24年1月1日、2日、3日厂休息",2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:49:19.000,,2024-01-03 10:49:19.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd39b173111d","92321181MA1NY0H89P","2","24年1月1日、2日、3日厂休息",2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:49:19.000,,2024-01-03 10:49:19.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd3db9a01488","91321203076327405M","2",放假,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:53:43.000,,2024-01-03 10:53:43.000,
2025-06-20 05:12:50.000,"8aae07328ccd2b71018ccd3db9d114a1","91321203076327405M","2",放假,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:53:43.000,,2024-01-03 10:53:43.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccd69a8743770","91321200329617161D","2",无计划,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,2024-01-04 08:50:38.000,"2","1",,2024-01-04 08:50:38.000,,2024-01-04 08:50:38.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccd69d909379a","913211810534906210","2",产线整修,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,2024-01-10 23:59:59.000,"8","1",,2024-01-03 11:41:55.000,,2024-01-19 05:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccd6b7b113b44","91321291737807845R","2","2024.1.3暂停喷粉作业",2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 11:43:42.000,,2024-01-03 11:43:42.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccd70fade45d6","91320305346363044K","2",放假,2024-01-03 00:00:00.000,2024-02-18 23:59:59.000,2024-02-18 23:59:59.000,"47","1",,2024-01-03 11:49:42.000,,2024-08-22 20:02:48.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccd8a7ad175ac","91320684MA1XJ0Y09A","2",目前暂无生产订单，后续接入订单恢复正常生产,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 12:17:33.000,,2024-01-03 12:17:33.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccd8c0a5a77b9","91320305346556380F","2",减产，放年假,2024-01-04 00:00:00.000,2024-02-18 23:59:59.000,2024-02-18 23:59:59.000,"46","1",,2024-01-03 12:19:16.000,,2024-08-22 20:05:16.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccd8e83447b96","91321300569187375K","3",升级改造关停,2024-01-03 00:00:00.000,2024-07-01 23:59:59.000,2024-04-04 09:07:28.000,"93","1",,2024-04-04 09:07:28.000,,2024-04-04 09:07:28.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccda9eff12df9","91320623138671042K","2",停产,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,2024-01-05 23:59:59.000,"3","1",,2024-01-03 12:51:55.000,,2024-01-18 07:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccdb483f54efc","91320301660803503E","2",休息,2024-01-04 00:00:00.000,2024-01-07 23:59:59.000,2024-01-07 23:59:59.000,"4","1",,2024-01-03 13:03:28.000,,2024-01-08 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccdc49aa20deb","91321323MA23FPTN6L","2",无订单，冬季气温低不能生产,2024-01-03 00:00:00.000,2024-02-29 23:59:59.000,2024-02-29 23:59:59.000,"58","1",,2024-01-03 13:21:03.000,,2024-03-13 16:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccdd10fa94119","91320621MA1N1W7M7K","2",无业务,2024-01-03 00:00:00.000,2024-01-18 23:59:59.000,,"16","1",,2024-01-03 13:34:39.000,,2024-01-03 13:34:39.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccddaab0b693f","91320321MA20R2KK48","2",订单调整,2024-01-03 00:00:00.000,2024-01-07 23:59:59.000,2024-01-07 23:59:59.000,"5","1",,2024-01-03 13:45:09.000,,2024-02-03 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccddc1f7970ab","91321204MA1T97QH8P","2",春节放假,2024-01-03 00:00:00.000,2024-02-14 23:59:59.000,2024-02-14 23:59:59.000,"43","1",,2024-01-03 13:46:44.000,,2024-03-13 16:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccddee9e37db5","91320321MA20Y1FL68","2",未喷塑,2024-01-03 00:00:00.000,2024-01-07 23:59:59.000,2024-01-07 23:59:59.000,"5","1",,2024-01-03 13:49:47.000,,2024-01-08 16:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccddf96467fdd","913203127406907643","2",窑炉损毁在建中,2024-01-03 00:00:00.000,2024-03-20 23:59:59.000,2024-03-20 23:59:59.000,"78","1",,2024-01-03 13:50:31.000,,2024-08-22 20:02:47.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccde0356c0142","91320611726566660L","2",订单不足，继续停产2天,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,2024-01-04 23:59:59.000,"2","1",,2024-01-03 13:51:12.000,,2024-01-28 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccde426b911ec","91321183076398414P","2",生产任务不足,2024-01-03 00:00:00.000,2024-01-06 23:59:59.000,2024-01-06 23:59:59.000,"4","1",,2024-01-03 13:55:30.000,,2024-01-16 15:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccde5d68d16a5","91320583314031889X","3",企业转型,2024-01-03 00:00:00.000,2024-04-05 23:59:59.000,,"94","2",,2024-01-03 13:57:21.000,,2024-01-03 13:57:21.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccdebe39630ec","91321181744818331R","2",无任务,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"1","1",,2024-01-03 14:03:57.000,,2024-01-05 16:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccdf40bf34e4f","913213235602853154","2",环保整改,2024-01-03 00:00:00.000,2024-01-07 23:59:59.000,,"5","1",,2024-01-03 14:12:52.000,,2024-01-03 14:12:52.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccdf40bf34e50","913213235602853154","2",环保整改,2024-01-03 00:00:00.000,2024-01-07 23:59:59.000,,"5","1",,2024-01-03 14:12:52.000,,2024-01-03 14:12:52.000,
2025-06-20 05:12:50.000,"8aae07328ccd506e018ccdf40bf34e51","913213235602853154","2",环保整改,2024-01-03 00:00:00.000,2024-01-07 23:59:59.000,,"5","1",,2024-01-03 14:12:52.000,,2024-01-03 14:12:52.000,
